courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
Artificial Intelligence MSc / PGCert	University of Leeds	Leeds Online		Designed and delivered by computer scientists, the innovative online Artificial Intelligence MSc and Postgraduate Certificate (PGCert)from the University of Leeds is designed specifically for professionals who recognise the importance of artificial intelligence (AI) to their sector.Purely AI focused and covering an extensive range of AI and machine learning tools and techniques, students will evaluate the risks and opportunities associated with modern AI technologies and market approaches. This will help prepare them to influence strategies in their own organisations which drive business efficiencies.	See Course	Course starting between 1 September 2023 - 31 August 2024  MSc: £15,000 PGCert: £5,800  Applicants will have the option to pay their fees on a module-by-module basis. However, this is not an option if your fees are being paid directly to the University by your employer or sponsor.		2-4 years	Leeds	United Kingdom		https://www.findamasters.com/masters-degrees/course/artificial-intelligence-msc-pgcert/?i321d8597c64297
Astronomy MSc	University of Groningen	Science and Engineering	Full time	A Master's degree in Astronomy is a gateway into a wide world of science and technology.Students are trained by astronomers from the world-renowned Kapteyn Astronomical Institute, a centre leading in astronomical research on galaxy formation and evolution, cosmology, star and planet formation, neutron stars and black holes.The two-year curriculum of the Master's degree can be tailored according to your own interests and capabilities. The wide range of options include the possibility to focus on observational astronomy, theoretical astronomy, astronomical instrumentation and informatics, data science or astronomy teaching.	September	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/astronomy-msc/?i1114d7105c37545
Astrophysics - MSc	University of Leeds	School of Physics and Astronomy	Full time	Astrophysics is the study of the Universe in all its complexity, from the formation of planets to the large-scale processes driving the evolution of galaxies over cosmic time. Astrophysics is a highly sought-after discipline that encourages the development of novel methods and techniques, placing you at the cutting edge of new discoveries. If you have a sense of wonder at our place in the Universe and how planets, stars and galaxies came to be then this is the right course for	September	UK: £13,500 (Total) International: £31,000 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/astrophysics-msc/?i321d1037c71837
Banking and International Finance - MSc	University of Leeds	Leeds University Business School	Full time	Integrated financial markets and global businesses contribute significantly to modern banking, which is inseparable from international finance.This course provides you with a comprehensive overview of central issues in banking and international finance. You’ll acquire an understanding of the forces that sway financial markets as well as the theories underlying commercial and international banking.You'll gain knowledge and skills that can be practically applied which you'll put to the test in real-life scenarios through practical exercises.	September	UK: £18,000 (Total) International: £34,750 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/banking-and-international-finance-msc/?i321d3232c3894
Behavioural and Cognitive Neurosciences (research) MSc	University of Groningen	Health and Life Sciences	Full time	Are you interested in the neural basis of cognition, the mechanisms of neurodegeneration or the evolution of behaviour?In this programme, you can study the function and mechanisms of the brain and behaviour from three different perspectives:In these tracks, you will deepen your knowledge of the aims and methods of your chosen domain (See “Programme” for more info). In addition, thanks to integrated courses and links between tracks, you will get a unique opportunity to acquire multi-disciplinary skills and training in the neurosciences.	September	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/behavioural-and-cognitive-neurosciences-research-msc/?i1114d7101c37512
Bioanalytical Chemistry and Pharmaceutical Analysis MSc	Fresenius University of Applied Sciences	Masters Opportunities	Full time	Analytical science is becoming increasingly significant: Fast and precise analytical methods are more important than ever in research, quality control, and production monitoring. At Hochschule Fresenius, you can study Bioanalytical Chemistry and Pharmaceutical Analysis (M.Sc.) in just two full-time semesters. Gain professional knowledge of modern analytical methods and the correct classification of the results these methods deliver.YOU’D RATHER STUDY PART-TIME?	See Course	Please see the university website for further information on fees for this course.		See Programme Description	Idstein	Germany	On Campus	https://www.findamasters.com/masters-degrees/course/bioanalytical-chemistry-and-pharmaceutical-analysis-msc/?i1289d8734c67221
Biodiversity and Conservation - MSc	University of Leeds	School of Biology	Full time	This distinctive course concentrates on the biological principles underlying biodiversity, its assessment and management. You’ll understand the ecological factors behind biodiversity and conservation, learn key field skills for assessing and managing biodiversity, and gain key analytical skills for a range of academic and professional careers. You’ll also acquire valuable experience in biodiversity and conservation-related	September	UK: £13,750 (Total) International: £31,000 (Total)		1 year full-time, 2 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/biodiversity-and-conservation-msc/?i321d4354c49790
Biomolecular Sciences MSc	University of Groningen	Health and Life Sciences	Full time	Are you interested in unravelling essential processes in living cells in order to understand 'life' at a molecular level? Would you like to excel in biomolecular sciences and use frontier know-how to solve fundamental questions or develop bio-based industrial or medical applications?	September	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/biomolecular-sciences-msc/?i1114d7101c37560
Biopharmaceutical Development (Industrial Placement) - MSc	University of Leeds	School of Molecular and Cellular Biology	Full time	Be at the cutting edge of modern medicine, gain invaluable experience, make essential connections, and be paid for your efforts. This Biopharmaceutical Development with Industrial Placement Masters is your opportunity to develop and build the necessary skill-set needed to flourish within the field of biopharmaceutical discovery & development. What better way to start your career than with a paid 12-month placement, earning up to £20,000 whilst working with an industry leading	September	UK: £24,500 (Total) International: £37,000 (Total)		20 months full time, 48 months part time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/biopharmaceutical-development-industrial-placement-msc/?i321d8432c45586
Biotechnology with Business Enterprise - MSc	University of Leeds	School of Molecular and Cellular Biology	Full time	This unique business-focused biotechnology Masters programme has been specifically designed to tackle the enterprise skills gap in the bioscience graduate jobs market. Hosted by the Faculty of Biological Sciences and run jointly with Leeds University Business School, this interdisciplinary Masters provides the skills to translate scientific research breakthroughs into exciting enterprise ventures with commercial	September	UK: £13,500 (Total) International: £31,000 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/biotechnology-with-business-enterprise-msc/?i321d8432c66126
